winner,champLevel,item0,item1,item2,item3,item4,item5,item6,kills,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,largestKillingSpree,deaths,assists,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,largestCriticalStrike,totalHeal,minionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,goldEarned,goldSpent,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,visionWardsBoughtInGame,sightWardsBoughtInGame,magicDamageDealt,physicalDamageDealt,trueDamageDealt,magicDamageTaken,physicalDamageTaken,trueDamageTaken,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,inhibitorKills,towerKills,wardsPlaced,wardsKilled,largestMultiKill,killingSprees,totalUnitsHealed,totalTimeCrowdControlDealt,champion
false,15,3207,3111,0,3068,3102,2044,3340,5,1,0,0,0,0,2,6,13,103234,17382,29799,0,0,15,75,74,1,10084,9335,0,0,0,0,14253,2574,553,2,2,60342,20868,22023,9408,18860,1530,false,false,false,false,false,false,0,0,8,2,2,2,0,479,Sejuani 
false,10,3207,3111,2044,0,0,0,3341,0,0,0,0,0,0,0,2,2,61276,3028,11382,0,252,38,48,41,7,4894,3955,0,0,0,0,1743,982,302,1,5,32678,17372,11224,3095,8099,187,false,false,false,false,false,false,0,0,4,2,0,0,1,249,Udyr 
false,15,3117,3157,3151,3206,0,0,3340,4,0,0,0,0,0,0,8,7,127719,14818,25307,0,10868,75,55,51,4,10061,10130,0,0,0,0,14270,492,56,0,7,109799,8920,9000,10182,14829,296,false,false,false,false,false,false,0,0,14,0,1,0,1,454,Fiddlesticks 
true,18,3207,3190,2043,3001,3265,3068,3341,4,0,0,0,0,0,0,4,18,172113,19509,28800,0,0,78,95,88,7,15066,12365,0,0,0,0,17985,1230,294,1,4,122799,22033,27280,9363,18929,508,false,false,false,false,false,true,0,0,5,2,1,0,0,262,Amumu 
true,15,3209,3074,3143,3009,1057,3067,3340,8,3,1,1,0,0,8,3,8,144313,8870,17613,0,4287,49,80,50,30,12231,11405,0,0,0,0,0,7983,886,1,3,0,128675,15638,2256,14728,629,false,false,false,false,true,false,1,1,11,1,4,1,1,655,Udyr 
false,15,3190,3074,3143,3209,3009,2044,3340,12,3,1,0,0,0,5,8,12,122007,21471,30423,0,2860,41,65,56,9,13063,12745,0,0,0,0,0,18547,2924,1,4,0,106570,15437,10357,18300,1765,false,false,false,false,false,false,0,2,9,0,3,2,1,488,Udyr 
true,17,3207,3001,3068,3111,3105,3067,3340,5,1,0,0,0,0,5,4,17,169111,15420,23004,0,0,27,103,83,20,14022,11725,0,0,0,0,13139,1685,596,1,2,109822,24469,34819,6843,15122,1038,false,false,false,false,false,false,0,0,11,0,2,1,0,393,Amumu 
false,15,3207,3068,0,3047,3001,3024,3340,4,0,0,0,0,0,2,7,5,143240,12487,26739,0,0,60,90,86,4,10854,9965,0,0,0,0,11447,991,49,2,2,95169,18685,29385,4372,21262,1105,false,false,false,false,false,false,0,0,13,0,1,2,0,274,Amumu 
true,14,1055,2003,3072,3006,3031,1042,3340,11,1,0,0,0,0,11,0,11,95097,19596,6633,680,884,156,4,2,2,11454,9435,0,0,0,0,4942,14166,488,0,0,23982,70228,886,1516,4711,406,false,false,false,false,true,false,1,2,6,0,2,1,2,273,Tristana 
true,18,1055,3072,3031,3006,3046,3026,3340,12,0,0,0,0,0,8,5,13,210994,28312,21261,830,2960,236,22,15,7,17433,14765,0,0,0,0,5734,21712,866,0,4,42559,166285,2150,7805,13048,407,false,false,false,true,false,true,1,3,11,0,1,2,3,335,Tristana 
false,14,1055,2003,3072,3006,3031,0,3340,5,0,0,0,0,0,2,6,4,109931,18324,18506,674,715,180,8,7,1,9910,8950,0,0,0,0,4671,13412,240,0,0,30233,78888,810,5420,13086,0,false,false,false,false,false,false,0,2,7,1,1,1,2,173,Tristana 
false,17,3209,3153,3143,3265,3211,1028,3340,9,0,0,0,0,0,2,5,12,142764,22625,30509,0,5325,47,86,85,1,12760,12405,0,0,0,0,98,20459,2067,3,2,641,129246,12877,11788,17548,1172,false,false,false,false,false,false,0,1,14,1,1,4,1,1164,Udyr 
true,18,3207,3075,3211,3001,3047,3068,3340,7,0,0,0,0,0,4,5,20,141480,22243,31595,0,0,45,77,67,10,14931,12655,0,0,0,0,19589,2280,374,3,4,85095,26712,29672,11181,19736,677,false,false,false,false,false,false,0,0,16,2,1,2,0,463,Sejuani 
false,15,3207,3025,3190,3111,0,0,3341,5,0,0,0,0,0,3,6,6,117136,9813,23382,0,0,52,74,62,12,10549,9755,0,0,0,0,4686,4469,658,2,5,32027,60824,24284,6987,15384,1010,false,false,false,false,false,false,0,0,7,4,1,1,0,1049,Skarner 
false,18,3144,3046,3031,3006,3087,3072,3340,13,3,1,0,0,0,5,9,8,192857,43735,32286,747,3948,199,22,21,1,15976,15865,0,0,0,0,9158,33714,862,1,2,47075,144404,1378,17391,12735,2160,false,false,true,false,false,true,0,3,13,0,3,3,2,194,Tristana 
true,16,3206,3157,3151,3020,3135,1026,3340,19,3,0,0,0,0,8,3,12,133286,27887,21073,0,14288,47,60,48,12,15017,12910,0,0,0,0,26708,868,310,2,3,111629,12998,8658,4273,16507,293,false,false,false,false,false,true,0,1,10,1,2,4,1,412,Fiddlesticks 
false,17,3209,3143,3134,3111,3102,3024,3341,9,0,0,0,0,0,3,12,8,147151,22011,41433,0,3896,76,68,64,4,12705,11792,0,0,0,0,1991,17910,2110,2,1,14852,117332,14966,14066,26881,486,false,false,false,false,false,false,0,0,2,3,1,2,1,740,Jarvan IV 
false,15,1055,3031,3250,3087,1053,1038,3340,6,0,0,0,0,0,0,13,8,124914,23772,30026,633,2789,161,7,7,0,11641,11165,0,0,0,0,9636,13992,144,0,1,50618,74152,144,11649,17490,886,false,false,false,false,false,false,0,0,7,0,1,0,3,98,Tristana 
true,13,1055,3144,3031,3006,3087,0,3340,9,2,0,0,0,0,7,3,2,87836,18648,12689,537,1900,166,0,0,0,9798,9315,0,0,0,0,8430,10217,0,0,0,35595,52241,0,2787,9840,62,false,false,false,false,false,false,0,2,8,0,2,1,3,33,Tristana 
true,16,1055,3031,3087,3153,3006,1011,3340,14,2,1,1,0,0,6,2,11,144149,24203,13234,588,1569,199,5,4,1,14549,12115,0,0,0,0,8749,15263,190,0,0,51258,92663,228,2955,9540,739,false,false,false,false,false,true,0,3,6,0,4,3,4,98,Tristana 
false,18,1038,3153,3143,3087,3031,3006,3340,11,1,0,0,0,0,5,7,14,270132,41862,31298,716,3711,257,43,37,6,17736,15815,0,0,0,0,14892,25864,1106,0,2,101015,166715,2402,12977,17853,466,true,false,false,false,false,false,0,2,12,3,2,2,3,526,Tristana 
true,12,3209,2044,3134,1011,3111,3082,3340,3,0,0,0,0,0,2,2,5,74075,4910,13162,0,2596,32,48,45,3,7514,7137,0,0,0,0,0,4531,378,0,1,4380,60072,9622,1380,11388,393,false,false,false,false,false,false,0,2,5,0,1,1,1,190,Wukong 
true,15,0,3143,3071,3265,3209,0,3341,7,0,0,0,0,0,3,6,8,140059,11842,24122,0,5983,58,69,61,8,11786,10365,0,0,0,0,0,10198,1643,0,5,0,124556,15503,6561,16874,686,false,false,false,false,false,false,0,0,5,0,1,3,1,480,Vi 
false,6,1055,3086,1001,0,0,0,3340,0,0,0,0,0,0,0,7,0,17317,3260,10501,175,230,43,0,0,0,3098,2005,0,0,0,0,1530,1730,0,0,0,5235,12082,0,5295,4527,678,false,false,false,false,false,false,0,0,2,0,0,0,2,13,Tristana 
false,17,1055,3087,3031,3252,3072,3143,3340,13,1,1,0,0,0,7,9,9,169259,24400,28058,714,1484,229,4,3,1,15087,14925,0,0,0,0,8661,15739,0,0,0,62466,106793,0,12021,14500,1536,false,false,false,false,false,false,0,1,6,0,3,2,2,48,Tristana 
